S.no.,Date,Open,High,Low,Close,neg,pos
131,2009-10-27,9868.34,9947.54,9837.96,9882.17,0.6553,0.3447
132,2009-10-28,9881.11,9902.42,9758.08,9762.69,0.6665,0.3335
133,2009-10-29,9762.91,9969.91,9759.13,9962.58,0.6939,0.3061
134,2009-10-30,9961.52,9962.13,9684.54,9712.73,0.6792,0.3208
135,2009-10-31,9836.83,9910.36,9681.75,9751.08,0.6502,0.3498
136,2009-11-01,9774.48,9884.48,9680.35,9770.26,0.7003,0.2997
137,2009-11-02,9712.13,9858.59,9678.95,9789.44,0.6891,0.3109
138,2009-11-03,9787.47,9787.47,9703.89,9771.91,0.6591,0.3409
139,2009-11-04,9767.3,9928.04,9767.14,9802.14,0.7011,0.2989
140,2009-11-05,9807.8,10013.07,9807.8,10005.96,0.6828,0.3172
141,2009-11-06,10001.35,10044.5,9936.81,10023.42,0.6839,0.3161
142,2009-11-07,10010.99,10136.37,9978.72,10125.18,0.6818,0.3182
143,2009-11-08,10015.81,10182.3,10020.47,10176.06,0.6718,0.3282
144,2009-11-09,10020.62,10228.23,10020.62,10226.94,0.6797,0.3203
145,2009-11-10,10223.01,10260.8,10197.69,10246.97,0.6494,0.3506
146,2009-11-11,10247.42,10341.97,10246.14,10291.26,0.6335,0.3665
147,2009-11-12,10289.82,10321.64,10171.24,10197.47,0.6495,0.3505
148,2009-11-13,10197.85,10305.69,10192.03,10270.47,0.6869,0.3131
149,2009-11-14,10232.84,10369.97,10229.74,10338.72,0.6549,0.3451
150,2009-11-15,10250.19,10402.11,10248.6,10372.84,0.6299,0.3701
151,2009-11-16,10267.53,10434.24,10267.45,10406.96,0.6825,0.3175
152,2009-11-17,10404.77,10438.17,10361.99,10437.42,0.6532,0.3468
153,2009-11-18,10426.27,10432.66,10360.1,10426.31,0.6692,0.3308
154,2009-11-19,10425.33,10425.33,10256.11,10332.44,0.647,0.353
155,2009-11-20,10327.91,10342.72,10271.68,10318.16,0.6582,0.3418
156,2009-11-21,10324.02,10419.16,10295.86,10384.56,0.668,0.332
157,2009-11-22,10322.08,10457.39,10307.96,10417.76,0.6734,0.3266
158,2009-11-23,10320.13,10495.61,10320.05,10450.95,0.6789,0.3211
159,2009-11-24,10451.25,10453.97,10359.58,10433.71,0.6682,0.3318
160,2009-11-25,10432.96,10481.48,10420.94,10464.4,0.6619,0.3381
